CURRENT_GRADES
abetaylor	63.577235772357724
abethes	81.0569105691057
acit	83.2520325203252
ahrown	70.8130081300813
amller	76.5040650406504
are	66.82926829268293
enwilson	91.21951219512195
gailarti	77.3170731707317
iaartinez	51.016260162601625
illines	77.52032520325203
marson	66.6260162601626
michaeia	68.45528455284551
mijacks	73.04878048780488
oliviaas	62.80487804878049
onon	65.52845528455285
onson	77.96747967479676
thms	86.95121951219512
vaern	85.4471544715447
xaod	84.02439024390245
ydenavi	87.27642276422763

